=== Job info ===
Node:     gnode13
NVIDIA H200 NVL, 143771 MiB
PyTorch 2.11.0+cu130
CUDA available: True
================

============================================================
Experiment: ER(n=40, p=0.05)  filter=diam11
Output:     runs/retrain_er_n40_485352/n40_p005_diam11
============================================================

Generating 6,000,000 train samples (D≤11) with 16 workers …
  train    25,000/6,000,000
  train    50,000/6,000,000
  train    75,000/6,000,000
  train   100,000/6,000,000
  train   125,000/6,000,000
  train   150,000/6,000,000
  train   175,000/6,000,000
  train   200,000/6,000,000
  train   225,000/6,000,000
  train   250,000/6,000,000
  train   275,000/6,000,000
  train   300,000/6,000,000
  train   325,000/6,000,000
  train   350,000/6,000,000
  train   375,000/6,000,000
  train   400,000/6,000,000
  train   425,000/6,000,000
  train   450,000/6,000,000
  train   475,000/6,000,000
  train   500,000/6,000,000
  train   525,000/6,000,000
  train   550,000/6,000,000
  train   575,000/6,000,000
  train   600,000/6,000,000
  train   625,000/6,000,000
  train   650,000/6,000,000
  train   675,000/6,000,000
  train   700,000/6,000,000
  train   725,000/6,000,000
  train   750,000/6,000,000
  train   775,000/6,000,000
  train   800,000/6,000,000
  train   825,000/6,000,000
  train   850,000/6,000,000
  train   875,000/6,000,000
  train   900,000/6,000,000
  train   925,000/6,000,000
  train   950,000/6,000,000
  train   975,000/6,000,000
  train 1,000,000/6,000,000
  train 1,025,000/6,000,000
  train 1,050,000/6,000,000
  train 1,075,000/6,000,000
  train 1,100,000/6,000,000
  train 1,125,000/6,000,000
  train 1,150,000/6,000,000
  train 1,175,000/6,000,000
  train 1,200,000/6,000,000
  train 1,225,000/6,000,000
  train 1,250,000/6,000,000
  train 1,275,000/6,000,000
  train 1,300,000/6,000,000
  train 1,325,000/6,000,000
  train 1,350,000/6,000,000
  train 1,375,000/6,000,000
  train 1,400,000/6,000,000
  train 1,425,000/6,000,000
  train 1,450,000/6,000,000
  train 1,475,000/6,000,000
  train 1,500,000/6,000,000
  train 1,525,000/6,000,000
  train 1,550,000/6,000,000
  train 1,575,000/6,000,000
  train 1,600,000/6,000,000
  train 1,625,000/6,000,000
  train 1,650,000/6,000,000
  train 1,675,000/6,000,000
  train 1,700,000/6,000,000
  train 1,725,000/6,000,000
  train 1,750,000/6,000,000
  train 1,775,000/6,000,000
  train 1,800,000/6,000,000
  train 1,825,000/6,000,000
  train 1,850,000/6,000,000
  train 1,875,000/6,000,000
  train 1,900,000/6,000,000
  train 1,925,000/6,000,000
  train 1,950,000/6,000,000
  train 1,975,000/6,000,000
  train 2,000,000/6,000,000
  train 2,025,000/6,000,000
  train 2,050,000/6,000,000
  train 2,075,000/6,000,000
  train 2,100,000/6,000,000
  train 2,125,000/6,000,000
  train 2,150,000/6,000,000
  train 2,175,000/6,000,000
  train 2,200,000/6,000,000
  train 2,225,000/6,000,000
  train 2,250,000/6,000,000
  train 2,275,000/6,000,000
  train 2,300,000/6,000,000
  train 2,325,000/6,000,000
  train 2,350,000/6,000,000
  train 2,375,000/6,000,000
  train 2,400,000/6,000,000
  train 2,425,000/6,000,000
  train 2,450,000/6,000,000
  train 2,475,000/6,000,000
  train 2,500,000/6,000,000
  train 2,525,000/6,000,000
  train 2,550,000/6,000,000
  train 2,575,000/6,000,000
  train 2,600,000/6,000,000
  train 2,625,000/6,000,000
  train 2,650,000/6,000,000
  train 2,675,000/6,000,000
  train 2,700,000/6,000,000
  train 2,725,000/6,000,000
  train 2,750,000/6,000,000
  train 2,775,000/6,000,000
  train 2,800,000/6,000,000
  train 2,825,000/6,000,000
  train 2,850,000/6,000,000
  train 2,875,000/6,000,000
  train 2,900,000/6,000,000
  train 2,925,000/6,000,000
  train 2,950,000/6,000,000
  train 2,975,000/6,000,000
  train 3,000,000/6,000,000
  train 3,025,000/6,000,000
  train 3,050,000/6,000,000
  train 3,075,000/6,000,000
  train 3,100,000/6,000,000
  train 3,125,000/6,000,000
  train 3,150,000/6,000,000
  train 3,175,000/6,000,000
  train 3,200,000/6,000,000
  train 3,225,000/6,000,000
  train 3,250,000/6,000,000
  train 3,275,000/6,000,000
  train 3,300,000/6,000,000
  train 3,325,000/6,000,000
  train 3,350,000/6,000,000
  train 3,375,000/6,000,000
  train 3,400,000/6,000,000
  train 3,425,000/6,000,000
  train 3,450,000/6,000,000
  train 3,475,000/6,000,000
  train 3,500,000/6,000,000
  train 3,525,000/6,000,000
  train 3,550,000/6,000,000
  train 3,575,000/6,000,000
  train 3,600,000/6,000,000
  train 3,625,000/6,000,000
  train 3,650,000/6,000,000
  train 3,675,000/6,000,000
  train 3,700,000/6,000,000
  train 3,725,000/6,000,000
  train 3,750,000/6,000,000
  train 3,775,000/6,000,000
  train 3,800,000/6,000,000
  train 3,825,000/6,000,000
  train 3,850,000/6,000,000
  train 3,875,000/6,000,000
  train 3,900,000/6,000,000
  train 3,925,000/6,000,000
  train 3,950,000/6,000,000
  train 3,975,000/6,000,000
  train 4,000,000/6,000,000
  train 4,025,000/6,000,000
  train 4,050,000/6,000,000
  train 4,075,000/6,000,000
  train 4,100,000/6,000,000
  train 4,125,000/6,000,000
  train 4,150,000/6,000,000
  train 4,175,000/6,000,000
  train 4,200,000/6,000,000
  train 4,225,000/6,000,000
  train 4,250,000/6,000,000
  train 4,275,000/6,000,000
  train 4,300,000/6,000,000
  train 4,325,000/6,000,000
  train 4,350,000/6,000,000
  train 4,375,000/6,000,000
  train 4,400,000/6,000,000
  train 4,425,000/6,000,000
  train 4,450,000/6,000,000
  train 4,475,000/6,000,000
  train 4,500,000/6,000,000
  train 4,525,000/6,000,000
  train 4,550,000/6,000,000
  train 4,575,000/6,000,000
  train 4,600,000/6,000,000
  train 4,625,000/6,000,000
  train 4,650,000/6,000,000
  train 4,675,000/6,000,000
  train 4,700,000/6,000,000
  train 4,725,000/6,000,000
  train 4,750,000/6,000,000
  train 4,775,000/6,000,000
  train 4,800,000/6,000,000
  train 4,825,000/6,000,000
  train 4,850,000/6,000,000
  train 4,875,000/6,000,000
  train 4,900,000/6,000,000
  train 4,925,000/6,000,000
  train 4,950,000/6,000,000
  train 4,975,000/6,000,000
  train 5,000,000/6,000,000
  train 5,025,000/6,000,000
  train 5,050,000/6,000,000
  train 5,075,000/6,000,000
  train 5,100,000/6,000,000
  train 5,125,000/6,000,000
  train 5,150,000/6,000,000
  train 5,175,000/6,000,000
  train 5,200,000/6,000,000
  train 5,225,000/6,000,000
  train 5,250,000/6,000,000
  train 5,275,000/6,000,000
  train 5,300,000/6,000,000
  train 5,325,000/6,000,000
  train 5,350,000/6,000,000
  train 5,375,000/6,000,000
  train 5,400,000/6,000,000
  train 5,425,000/6,000,000
  train 5,450,000/6,000,000
  train 5,475,000/6,000,000
  train 5,500,000/6,000,000
  train 5,525,000/6,000,000
  train 5,550,000/6,000,000
  train 5,575,000/6,000,000
  train 5,600,000/6,000,000
  train 5,625,000/6,000,000
  train 5,650,000/6,000,000
  train 5,675,000/6,000,000
  train 5,700,000/6,000,000
  train 5,725,000/6,000,000
  train 5,750,000/6,000,000
  train 5,775,000/6,000,000
  train 5,800,000/6,000,000
  train 5,825,000/6,000,000
  train 5,850,000/6,000,000
  train 5,875,000/6,000,000
  train 5,900,000/6,000,000
  train 5,925,000/6,000,000
  train 5,950,000/6,000,000
  train 5,975,000/6,000,000
  train 6,000,000/6,000,000
  train done in 726.6s (12.1 min)
Generating 10,000 test samples (D≤11) …
  test  done in 18.2s
RAM after generation: 18.6 GB

  device: cuda
  parameters: 72,296
  step   1000  loss=0.21506  exact=0.1261  pairwise=0.9568
  step   2000  loss=0.10966  exact=0.3378  pairwise=0.9651
  step   3000  loss=0.08752  exact=0.5514  pairwise=0.9713
  step   4000  loss=0.07530  exact=0.4521  pairwise=0.9713
  step   5000  loss=0.06786  exact=0.5798  pairwise=0.9764
  step   6000  loss=0.06417  exact=0.5685  pairwise=0.9772
  step   7000  loss=0.06105  exact=0.5881  pairwise=0.9787
  step   8000  loss=0.05812  exact=0.6150  pairwise=0.9796
  step   9000  loss=0.05699  exact=0.6730  pairwise=0.9800
  step  10000  loss=0.05355  exact=0.6381  pairwise=0.9804
  step  11000  loss=0.05342  exact=0.5328  pairwise=0.9782
  step  12000  loss=0.05176  exact=0.6035  pairwise=0.9815
  step  13000  loss=0.05011  exact=0.7000  pairwise=0.9816
  step  14000  loss=0.04925  exact=0.6770  pairwise=0.9821
  step  15000  loss=0.04849  exact=0.6403  pairwise=0.9821
  step  16000  loss=0.04742  exact=0.6361  pairwise=0.9828
  step  17000  loss=0.04715  exact=0.6740  pairwise=0.9832
  step  18000  loss=0.04590  exact=0.7271  pairwise=0.9831
  step  19000  loss=0.04513  exact=0.6951  pairwise=0.9836
  step  20000  loss=0.04491  exact=0.6787  pairwise=0.9840
  step  21000  loss=0.04455  exact=0.6747  pairwise=0.9839
  step  22000  loss=0.04374  exact=0.6985  pairwise=0.9838
  step  23000  loss=0.04358  exact=0.6677  pairwise=0.9840
  step  24000  loss=0.04265  exact=0.6835  pairwise=0.9845
  step  25000  loss=0.04202  exact=0.6383  pairwise=0.9837
  step  26000  loss=0.04154  exact=0.7034  pairwise=0.9848
  step  27000  loss=0.04147  exact=0.6757  pairwise=0.9851
